State,Name,Percentage_of_Adults_Reporting_Poor_Health,Number_of_Poor_Physical_Health_Days_in_Past_30_,Percentage_of_Adult_Smokers,Percentage_of_Obese_Adults,Food_environment_index_0_to_10,Percentage_of_Adults_Reporting_No_Physical_Activity,Access_to_exercise_opportunities,Excessive_drinking_raw,Number_of_primary_care_physicians_per_100k,Ratio_of_population_to_primary_care_physicians,Percentage_of_Medicare_enrollees_that_had_an_annual_flu_vaccination,Children_in_poverty_raw_value,Income_inequality_raw_value,Air_pollution_particulate_matter_raw_value,Life_expectancy_raw_value,Life_expectancy_Black,Life_expectancy_Hispanic,Life_expectancy_White,Diabetes_prevalence_raw_value,HIV_prevalence_raw_value,Uninsured_adults_raw_value,Median_household_income_raw_value,Median_household_income_Black,Median_household_income_Hispanic,Median_household_income_White,Percentage_Non_Hispanic_Black_raw_value,Percentage_American_Indian_and_Alaska_Native_raw_value,Percentage_Asian_raw_value,Percentage_Native_Hawaiian_Other_Pacific_Islander_raw_value,Percentage_Hispanic_raw_value,Percentage_Non_Hispanic_White_raw_value,Percentage_Females_raw_value,Percentage_Males,Percentage_Rural_raw_value,Percentage_Urban
Maine,Somerset,0.157365573,3.92042497,0.190945034,0.339,7.3,0.26,0.594757601,0.1835903,0.000612334,1633.096774,0.41,0.211,4.812026002,7.3,76.24570006,,,76.01388333,0.12,72.8,0.143262175,43755,50341,21573,42877,0.00549494,0.005712366,0.007273877,0.000355788,0.011167774,0.955566097,0.502628874,0.497371126,0.804759899,0.195240101
Maine,Waldo,0.15062473,4.226180608,0.175107616,0.307,8,0.207,0.499974218,0.185780548,0.000728058,1373.517241,0.42,0.202,4.31788381,7.1,79.13413751,,,79.2428386,0.105,108.2,0.143214671,49482,,,51736,0.005693556,0.004962967,0.007079156,0.000403084,0.014989671,0.953469038,0.508313599,0.491686401,0.913422369,0.086577631
Maine,Washington,0.176278557,4.092130716,0.182297896,0.326,7.4,0.267,0.519570246,0.185191099,0.000664704,1504.428571,0.34,0.268,4.785599905,6.5,75.9232928,,,76.16333416,0.126,98.7,0.182163188,39522,,42386,41918,0.005970149,0.054048904,0.005017466,0.000349317,0.024198158,0.89444268,0.505652588,0.494347412,0.923788654,0.076211346
Maine,York,0.127238616,3.349710503,0.140369137,0.302,8.3,0.217,0.779101207,0.212041355,0.000763991,1308.916667,0.49,0.105,3.994426669,7.7,79.17304565,77.59879384,88.7087483,79.09663833,0.098,129.7,0.098598792,65984,48992,56771,66323,0.009086986,0.003738563,0.01362563,0.000324882,0.017383588,0.941017025,0.512163663,0.487836337,0.568434188,0.431565812
Maryland,Maryland,0.149007508,3.394347918,0.138475252,0.31,9,0.224,0.925712975,0.166292275,0.000876709,1140.628911,0.5,0.121,4.545191361,9.6,79.14402633,76.54682524,90.71866847,79.21692608,0.107,642.8,0.08291695,83076,,,,0.298098803,0.005988696,0.067135683,0.001116385,0.103998399,0.504874131,0.515297421,0.484702579,0.12803574,0.87196426
Maryland,Allegany,0.165999706,4.164392167,0.160517106,0.369,7.2,0.291,0.824963043,0.162850273,0.000530615,1884.605263,0.43,0.213,4.714448731,9,76.25172339,75.51277449,,75.74442022,0.152,210.2,0.068472868,43535,28558,40967,44557,0.080577668,0.002071152,0.011511096,0.000648116,0.018612187,0.867713984,0.478717858,0.521282142,0.272523872,0.727476128
Maryland,Anne Arundel,0.121719601,3.237223203,0.136754212,0.294,8.9,0.205,0.919111849,0.192490792,0.000694305,1440.288945,0.53,0.096,3.709807212,10.6,79.23019922,77.93114506,86.66142797,78.9292761,0.096,280.4,0.066657928,97051,82209,77654,103596,0.171334529,0.004414693,0.0420585,0.001223893,0.080832455,0.675421983,0.504656867,0.495343133,0.05304135,0.94695865
Maryland,Baltimore,0.138132022,3.195595571,0.132778303,0.309,8.4,0.235,0.963496967,0.171694142,0.001012652,987.5065243,0.53,0.13,4.231733535,10.9,78.08364578,76.73465666,90.92327256,77.82714588,0.107,460.9,0.071742029,75836,66037,62910,79609,0.289949314,0.004390227,0.06332694,0.00075806,0.056528546,0.565541367,0.525959313,0.474040687,0.065338019,0.934661981
Maryland,Calvert,0.117726756,3.067312177,0.144829161,0.323,9.1,0.214,0.614298432,0.178689296,0.000524579,1906.291667,0.53,0.066,3.41042339,9.3,79.43743071,77.0656274,87.32435495,79.56068371,0.115,160.7,0.046253796,106270,71487,140938,110047,0.127452366,0.004554199,0.018890688,0.00110866,0.041498647,0.779865874,0.504222688,0.495777312,0.387098955,0.612901045
Maryland,Caroline,0.172111579,3.830478549,0.186024251,0.402,8.4,0.308,0.476531785,0.163898903,0.000361522,2766.083333,0.48,0.199,4.28515794,9.4,76.07309201,74.84207929,,75.96245411,0.129,278.1,0.099490815,56627,38424,45735,60292,0.137671151,0.008527504,0.012130675,0.003212827,0.073895028,0.754503964,0.509788614,0.490211386,0.759995161,0.240004839
